,node_id,node_type,node_name,node_source
113327,16483.0,disease,intracranial berry aneurysm,MONDO
113427,16587.0,disease,arrhythmogenic right ventricular cardiomyopathy,MONDO
113644,16820.0,disease,Moyamoya disease,MONDO
114774,17990.0,disease,catecholaminergic polymorphic ventricular tachycardia,MONDO
114775,17991.0,disease,Takayasu arteritis,MONDO
114836,18054.0,disease,familial atrial fibrillation,MONDO
114867,18089.0,disease,double outlet right ventricle,MONDO
115587,18870.0,disease,arterial calcification of infancy,MONDO
115599,18882.0,disease,vasculitis,MONDO
115616,18901.0,disease,left ventricular noncompaction (disease),MONDO
115632,18920.0,disease,peripartum cardiomyopathy,MONDO
115840,19159.0,disease,Loeffler endocarditis,MONDO
115849,19170.0,disease,polyarteritis nodosa,MONDO
115859,19180.0,disease,hereditary hemorrhagic telangiectasia,MONDO
116101,19443.0,disease,dextro-looped transposition of the great arteries,MONDO
116145,19490.0,disease,progressive familial heart block,MONDO
116166,19514.0,disease,hepatic veno-occlusive disease,MONDO
116176,19526.0,disease,erythema elevatum diutinum,MONDO
116867,20290.0,disease,atrioventricular septal defect,MONDO
116868,20291.0,disease,hypoplastic right heart syndrome,MONDO
117009,20439.0,disease,patent foramen ovale (disease),MONDO
118631,24523.0,disease,aortic valve disease 1,MONDO
118681,24573.0,disease,familial hypertrophic cardiomyopathy,MONDO
118868,25514.0,disease,livedoid vasculopathy,MONDO
120508,5044.0,disease,hypertensive disorder,MONDO
120509,1134.0,disease,essential hypertension,MONDO
120574,8538.0,disease,temporal arteritis,MONDO
120593,4981.0,disease,atrial fibrillation (disease),MONDO
120594,5009.0,disease,congestive heart failure,MONDO
120634,4995.0,disease,cardiovascular disease,MONDO
120635,5267.0,disease,heart disease,MONDO
120637,5279.0,disease,pulmonary embolism (disease),MONDO
120683,4781.0,disease,acute myocardial infarction,MONDO
120684,5068.0,disease,myocardial infarction (disease),MONDO
120685,6716.0,disease,coronary thrombosis,MONDO
120686,3678.0,disease,silent myocardial infarction,MONDO
120699,5299.0,disease,brain ischemia,MONDO
120700,5264.0,disease,transient ischemic attack (disease),MONDO
120721,8364.0,disease,Raynaud disease,MONDO
120729,2277.0,disease,arteriosclerosis disorder,MONDO
120730,5311.0,disease,atherosclerosis,MONDO
