,node_id,node_type,node_name,node_source
112886,16011.0,disease,fetal alcohol syndrome,MONDO
114090,17276.0,disease,frontotemporal dementia,MONDO
115860,19181.0,disease,non-syndromic X-linked intellectual disability,MONDO
116154,19502.0,disease,autosomal recessive non-syndromic intellectual disability,MONDO
116716,20119.0,disease,X-linked syndromic intellectual disability,MONDO
117472,21107.0,disease,narcolepsy,MONDO
117843,21668.0,disease,disorder involving pain,MONDO
118551,24358.0,disease,complex sleep apnea,MONDO
118557,24377.0,disease,"circadian rhythm sleep disorder, delayed sleep phase type",MONDO
119013,30907.0,disease,"intellectual disability, X-linked 106",MONDO
119014,30908.0,disease,"intellectual disability, X-linked, syndromic, 35",MONDO
119015,30909.0,disease,"intellectual disability, X-linked, syndromic, Houge type",MONDO
119016,30910.0,disease,"intellectual disability, autosomal dominant 45",MONDO
119017,30911.0,disease,"intellectual disability, autosomal dominant 46",MONDO
119018,30912.0,disease,"intellectual disability, autosomal dominant 47",MONDO
119019,30913.0,disease,"intellectual disability, autosomal dominant 48",MONDO
119020,30914.0,disease,"intellectual disability, autosomal dominant 49",MONDO
119021,30915.0,disease,"intellectual disability, autosomal recessive 61",MONDO
119022,30916.0,disease,"intellectual disability, autosomal dominant 50",MONDO
119023,30917.0,disease,"intellectual disability, autosomal dominant 51",MONDO
119024,30918.0,disease,"intellectual disability, autosomal dominant 52",MONDO
119025,30919.0,disease,"intellectual disability, autosomal dominant 53",MONDO
119026,30920.0,disease,"intellectual disability, autosomal dominant 54",MONDO
119027,30921.0,disease,"intellectual disability, autosomal dominant 55, with seizures",MONDO
119028,30922.0,disease,"intellectual disability, autosomal dominant 56",MONDO
119419,33312.0,disease,schizophrenia 19,MONDO
119443,33492.0,disease,Coffin-Siris syndrome 6,MONDO
120265,56797.0,disease,neurodevelopmental disorder with midbrain and hindbrain malformations,MONDO
120579,2050.0,disease,depressive disorder,MONDO
120580,5379.0,disease,neurotic disorder,MONDO
120581,1442.0,disease,dysthymic disorder,MONDO
120614,1196.0,disease,psychologic dyspareunia,MONDO
120723,1821.0,disease,hypoactive sexual desire disorder,MONDO
120727,5090.0,disease,schizophrenia (disease),MONDO
120738,12048.0,disease,endogenous depression,MONDO
120739,2009.0,disease,major depressive disorder,MONDO
120808,1780.0,disease,premature ejaculation (disease),MONDO
120912,5618.0,disease,anxiety disorder,MONDO
120913,3699.0,disease,phobic disorder,MONDO
120917,5351.0,disease,anorexia nervosa,MONDO
120926,1315.0,disease,neurocirculatory asthenia,MONDO
120928,5362.0,disease,erectile dysfunction (disease),MONDO
120962,1942.0,disease,generalized anxiety disorder,MONDO
120963,7079.0,disease,alcohol dependence,MONDO
120964,2046.0,disease,alcohol abuse,MONDO
121070,4985.0,disease,bipolar disorder,MONDO
121087,6730.0,disease,drug psychosis,MONDO
121112,2494.0,disease,substance-related disorder,MONDO
121113,2491.0,disease,substance abuse,MONDO
121184,5485.0,disease,psychotic disorder,MONDO
121185,1265.0,disease,schizophreniform disorder,MONDO
121187,5487.0,disease,schizoaffective disorder,MONDO
121240,8575.0,disease,nicotine dependence,MONDO
121253,5146.0,disease,post-traumatic stress disorder,MONDO
121256,5383.0,disease,panic disorder,MONDO
121341,8114.0,disease,obsessive-compulsive disorder,MONDO
121374,1627.0,disease,dementia (disease),MONDO
121407,5303.0,disease,drug dependence,MONDO
121408,4938.0,disease,substance dependence,MONDO
121415,7147.0,disease,obstructive sleep apnea syndrome,MONDO
121416,5296.0,disease,sleep apnea syndrome,MONDO
121419,7661.0,disease,Tourette syndrome,MONDO
121443,5452.0,disease,bulimia nervosa,MONDO
121502,694.0,disease,seasonal affective disorder,MONDO
121550,2039.0,disease,cognitive disorder,MONDO
121597,3709.0,disease,agoraphobia,MONDO
121663,1152.0,disease,amnestic disorder,MONDO
121664,3040.0,disease,retrograde amnesia,MONDO
121667,5567.0,disease,substance withdrawal syndrome,MONDO
121681,1186.0,disease,depersonalization disorder,MONDO
121683,2420.0,disease,tic disorder,MONDO
121687,5530.0,disease,opiate dependence,MONDO
121688,5367.0,disease,heroin dependence,MONDO
121689,5531.0,disease,morphine dependence,MONDO
121706,2411.0,disease,narcissistic personality disorder,MONDO
121725,1156.0,disease,borderline personality disorder (disease),MONDO
121726,1521.0,disease,intermittent explosive disorder,MONDO
121731,2134.0,disease,physiological sexual disorder,MONDO
121732,595.0,disease,sexual and gender identity disorders,MONDO
121761,2330.0,disease,alcoholic psychosis,MONDO
121822,4681.0,disease,learning disability,MONDO
121823,1071.0,disease,intellectual disability,MONDO
121832,5260.0,disease,autism (disease),MONDO
121835,5929.0,disease,postpartum depression,MONDO
121840,5566.0,disease,neonatal abstinence syndrome,MONDO
