node_index,node_id,node_type,node_name,node_source
27251,9705,disease,carnitine palmitoyl transferase 1A deficiency,MONDO
27271,14820,disease,mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),MONDO
27302,13681,disease,alpha-methylacyl-CoA racemase deficiency,MONDO
27334,12556,disease,DK1-CDG,MONDO
27341,9609,disease,methylcobalamin deficiency type cblG,MONDO
27355,11760,disease,Scheie syndrome,MONDO
27400,8919,disease,systemic primary carnitine deficiency disease,MONDO
27474,9254,disease,fucosidosis,MONDO
27476,7745,disease,Gilbert syndrome,MONDO
27479,9612,disease,methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,MONDO
27502,9387,disease,familial lipoprotein lipase deficiency,MONDO
27539,9354,disease,methylcobalamin deficiency type cblE,MONDO
27550,10149,disease,transcobalamin II deficiency,MONDO
27553,10028,disease,sialuria,MONDO
27583,9548,disease,renal hypomagnesemia 5 with ocular involvement,MONDO
27589,9292,disease,glycogen storage disease due to glycogen branching enzyme deficiency,MONDO
27676,7744,disease,cholesterol-ester transfer protein deficiency,MONDO
27755,18637,disease,familial chylomicronemia syndrome,MONDO
27782,10794,disease,NARP syndrome,MONDO
27783,12885,disease,SRD5A3-CDG,MONDO
27802,12301,disease,"mitochondrial DNA depletion syndrome, myopathic form",MONDO
27842,7369,disease,hereditary coproporphyria,MONDO
27843,8294,disease,acute intermittent porphyria,MONDO
27894,11759,disease,Hurler-Scheie syndrome,MONDO
27895,11629,disease,MOGS-CDG,MONDO
27903,10089,disease,isolated sulfite oxidase deficiency,MONDO
28030,11772,disease,B4GALT1-CDG,MONDO
28042,8224,disease,hyperkalemic periodic paralysis,MONDO
28056,8774,disease,2-aminoadipic 2-oxoadipic aciduria,MONDO
28057,11229,disease,ethylmalonic encephalopathy,MONDO
28079,9737,disease,galactosialidosis,MONDO
28134,11308,disease,gracile syndrome,MONDO
28148,12635,disease,COG8-CDG,MONDO
28273,8723,disease,very long chain acyl-CoA dehydrogenase deficiency,MONDO
28289,11612,disease,glycine encephalopathy,MONDO
28291,12503,disease,thiopurine S-methyltransferase deficiency,MONDO
28360,9902,disease,cutaneous porphyria,MONDO
28370,8935,disease,cerebellar ataxia-hypogonadism syndrome,MONDO
28449,13661,disease,combined malonic and methylmalonic acidemia,MONDO
28466,9475,disease,isovaleric acidemia,MONDO
28485,9258,disease,classic galactosemia,MONDO
28518,10204,disease,lysosomal acid lipase deficiency,MONDO
28541,13968,disease,PGM1-CDG,MONDO
28555,9665,disease,biotinidase deficiency,MONDO
28579,11758,disease,Hurler syndrome,MONDO
28580,12996,disease,AGAT deficiency,MONDO
28588,10083,disease,succinic semialdehyde dehydrogenase deficiency,MONDO
28670,13869,disease,adenine phosphoribosyltransferase deficiency,MONDO
28676,11182,disease,trimethylaminuria (disease),MONDO
28723,9351,disease,homocarnosinosis,MONDO
28735,9515,disease,Norum disease,MONDO
28759,11257,disease,MPI-CDG,MONDO
28766,13810,disease,COG6-CGD,MONDO
28786,9666,disease,holocarboxylase synthetase deficiency,MONDO
28819,9111,disease,dihydropyrimidinuria,MONDO
28860,10099,disease,Tay-Sachs disease AB variant,MONDO
28894,12637,disease,COG1-CDG,MONDO
28900,10188,disease,familial isolated deficiency of vitamin E,MONDO
28906,12396,disease,exercise-induced hyperinsulinism,MONDO
28930,13971,disease,leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,MONDO
28937,12381,disease,hyperinsulinism due to INSR deficiency,MONDO
28961,10379,disease,Brunner syndrome,MONDO
28972,13325,disease,COG5-CDG,MONDO
29036,9285,disease,gamma-glutamyl transpeptidase deficiency,MONDO
29070,11628,disease,propionic acidemia,MONDO
29112,10797,disease,Pearson syndrome,MONDO
29116,14976,disease,lethal left ventricular non-compaction-seizures-hypotonia-cataract-developmental delay syndrome,MONDO
29121,14943,disease,mitochondrial DNA depletion syndrome 15 (hepatocerebral type);,MONDO
29141,12517,disease,atypical Gaucher disease due to saposin C deficiency,MONDO
29186,9376,disease,carbamoyl phosphate synthetase I deficiency disease,MONDO
29254,9259,disease,gamma-glutamylcysteine synthetase deficiency,MONDO
29286,13404,disease,hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,MONDO
29302,9388,disease,hyperlysinemia (disease),MONDO
29414,12084,disease,aromatic L-amino acid decarboxylase deficiency,MONDO
29436,9240,disease,formiminoglutamic aciduria,MONDO
29437,13836,disease,familial steroid-resistant nephrotic syndrome with sensorineural deafness,MONDO
29438,11969,disease,ALG8-CDG,MONDO
29444,10088,disease,mucosulfatidosis,MONDO
29451,13110,disease,neurodegenerative syndrome due to cerebral folate transport deficiency,MONDO
29457,8297,disease,variegate porphyria,MONDO
