Method,Metric,Seed,Split,Task,Metric Name
DSD-min,0.5752144950367674,1,autoimmune,indication,AUPRC
DSD-min,0.5886222222222223,1,autoimmune,indication,AUROC
DSD-min,0.016608391608391608,1,autoimmune,indication,Recall@100
DSD-min,0.4957152237280523,1,autoimmune,indication,Avg Rank
DSD-min,0.0015384615384615385,1,autoimmune,indication,Precision@100
DSD-min,0.0,1,autoimmune,indication,Precision@10
DSD-min,0.0,1,autoimmune,indication,Precision@K
KL-min,0.5486236628923487,1,autoimmune,indication,AUPRC
KL-min,0.5269333333333334,1,autoimmune,indication,AUROC
KL-min,0.0,1,autoimmune,indication,Recall@100
KL-min,0.4771395937507537,1,autoimmune,indication,Avg Rank
KL-min,0.0,1,autoimmune,indication,Precision@100
KL-min,0.0,1,autoimmune,indication,Precision@10
KL-min,0.0,1,autoimmune,indication,Precision@K
JS-min,0.505852442656029,1,autoimmune,indication,AUPRC
JS-min,0.48871111111111115,1,autoimmune,indication,AUROC
JS-min,0.008547008547008546,1,autoimmune,indication,Recall@100
JS-min,0.4664244123126481,1,autoimmune,indication,Avg Rank
JS-min,0.0007692307692307692,1,autoimmune,indication,Precision@100
JS-min,0.0,1,autoimmune,indication,Precision@10
JS-min,0.0,1,autoimmune,indication,Precision@K
HGT,0.5108719452588416,1,autoimmune,indication,AUPRC
HGT,0.5144888888888889,1,autoimmune,indication,AUROC
HGT,0.006993006993006993,1,autoimmune,indication,Recall@100
HGT,0.601172897587037,1,autoimmune,indication,Avg Rank
HGT,0.0007692307692307692,1,autoimmune,indication,Precision@100
HGT,0.0,1,autoimmune,indication,Precision@10
HGT,0.0,1,autoimmune,indication,Precision@K
HAN,0.5010305476520067,1,autoimmune,indication,AUPRC
HAN,0.4727111111111111,1,autoimmune,indication,AUROC
HAN,0.20414201183431951,1,autoimmune,indication,Recall@100
HAN,0.41026253966964127,1,autoimmune,indication,Avg Rank
HAN,0.004615384615384616,1,autoimmune,indication,Precision@100
HAN,0.0,1,autoimmune,indication,Precision@10
HAN,0.0,1,autoimmune,indication,Precision@K
RGCN,0.5085034513000029,1,autoimmune,indication,AUPRC
RGCN,0.5357333333333333,1,autoimmune,indication,AUROC
RGCN,0.038461538461538464,1,autoimmune,indication,Recall@100
RGCN,0.7122122857372902,1,autoimmune,indication,Avg Rank
RGCN,0.0007692307692307692,1,autoimmune,indication,Precision@100
RGCN,0.0,1,autoimmune,indication,Precision@10
RGCN,0.0,1,autoimmune,indication,Precision@K
BioBERT,0.661420014544916,1,autoimmune,indication,AUPRC
BioBERT,0.6613333333333333,1,autoimmune,indication,AUROC
BioBERT,0.02958579881656805,1,autoimmune,indication,Recall@100
BioBERT,0.5506033905930948,1,autoimmune,indication,Avg Rank
BioBERT,0.0038461538461538464,1,autoimmune,indication,Precision@100
BioBERT,0.0,1,autoimmune,indication,Precision@10
BioBERT,0.0,1,autoimmune,indication,Precision@K
TxGNN,0.8722797985112198,1,autoimmune,indication,AUPRC
TxGNN,0.8735111111111111,1,autoimmune,indication,AUROC
TxGNN,0.3395642818719742,1,autoimmune,indication,Recall@100
TxGNN,0.6420326055939595,1,autoimmune,indication,Avg Rank
TxGNN,0.02538461538461538,1,autoimmune,indication,Precision@100
TxGNN,0.13846153846153847,1,autoimmune,indication,Precision@10
TxGNN,0.12621032813340508,1,autoimmune,indication,Precision@K
Proximity,0.5644967160600961,1,autoimmune,indication,AUPRC
Proximity,0.5904888888888888,1,autoimmune,indication,AUROC
Proximity,0.006993006993006993,1,autoimmune,indication,Recall@100
Proximity,0.4977104444457815,1,autoimmune,indication,Avg Rank
Proximity,0.0007692307692307692,1,autoimmune,indication,Precision@100
Proximity,0.0,1,autoimmune,indication,Precision@10
Proximity,0.0,1,autoimmune,indication,Precision@K
DSD-min,0.548473543712,2,autoimmune,indication,AUPRC
DSD-min,0.5404444444444445,2,autoimmune,indication,AUROC
DSD-min,0.0,2,autoimmune,indication,Recall@100
DSD-min,0.4938882914588873,2,autoimmune,indication,Avg Rank
DSD-min,0.0,2,autoimmune,indication,Precision@100
DSD-min,0.0,2,autoimmune,indication,Precision@10
DSD-min,0.0,2,autoimmune,indication,Precision@K
KL-min,0.5297156531259004,2,autoimmune,indication,AUPRC
KL-min,0.5164444444444445,2,autoimmune,indication,AUROC
KL-min,0.09615384615384616,2,autoimmune,indication,Recall@100
KL-min,0.5680782078124526,2,autoimmune,indication,Avg Rank
KL-min,0.0015384615384615385,2,autoimmune,indication,Precision@100
KL-min,0.0,2,autoimmune,indication,Precision@10
KL-min,0.0,2,autoimmune,indication,Precision@K
JS-min,0.5152607470075894,2,autoimmune,indication,AUPRC
JS-min,0.5269333333333334,2,autoimmune,indication,AUROC
JS-min,0.0,2,autoimmune,indication,Recall@100
JS-min,0.5174845840938106,2,autoimmune,indication,Avg Rank
JS-min,0.0,2,autoimmune,indication,Precision@100
JS-min,0.0,2,autoimmune,indication,Precision@10
JS-min,0.0,2,autoimmune,indication,Precision@K
HGT,0.5631960999454099,2,autoimmune,indication,AUPRC
HGT,0.5704888888888889,2,autoimmune,indication,AUROC
HGT,0.0,2,autoimmune,indication,Recall@100
HGT,0.23298858069282755,2,autoimmune,indication,Avg Rank
HGT,0.0,2,autoimmune,indication,Precision@100
HGT,0.0,2,autoimmune,indication,Precision@10
HGT,0.0,2,autoimmune,indication,Precision@K
HAN,0.5130838865423304,2,autoimmune,indication,AUPRC
HAN,0.528,2,autoimmune,indication,AUROC
HAN,0.038461538461538464,2,autoimmune,indication,Recall@100
HAN,0.2886167671661335,2,autoimmune,indication,Avg Rank
HAN,0.0007692307692307692,2,autoimmune,indication,Precision@100
HAN,0.007692307692307693,2,autoimmune,indication,Precision@10
HAN,0.0,2,autoimmune,indication,Precision@K
RGCN,0.5151844254695653,2,autoimmune,indication,AUPRC
RGCN,0.5414222222222222,2,autoimmune,indication,AUROC
RGCN,0.038461538461538464,2,autoimmune,indication,Recall@100
RGCN,0.7028719134714339,2,autoimmune,indication,Avg Rank
RGCN,0.0007692307692307692,2,autoimmune,indication,Precision@100
RGCN,0.0,2,autoimmune,indication,Precision@10
RGCN,0.0,2,autoimmune,indication,Precision@K
BioBERT,0.661420014544916,2,autoimmune,indication,AUPRC
BioBERT,0.6613333333333333,2,autoimmune,indication,AUROC
BioBERT,0.02958579881656805,2,autoimmune,indication,Recall@100
BioBERT,0.5506033905930948,2,autoimmune,indication,Avg Rank
BioBERT,0.0038461538461538464,2,autoimmune,indication,Precision@100
BioBERT,0.0,2,autoimmune,indication,Precision@10
BioBERT,0.0,2,autoimmune,indication,Precision@K
TxGNN,0.8778904660553101,2,autoimmune,indication,AUPRC
TxGNN,0.8763555555555556,2,autoimmune,indication,AUROC
TxGNN,0.3395642818719742,2,autoimmune,indication,Recall@100
TxGNN,0.6528422032815843,2,autoimmune,indication,Avg Rank
TxGNN,0.02538461538461538,2,autoimmune,indication,Precision@100
TxGNN,0.15384615384615385,2,autoimmune,indication,Precision@10
TxGNN,0.13212748789671866,2,autoimmune,indication,Precision@K
Proximity,0.5614578786245212,2,autoimmune,indication,AUPRC
Proximity,0.5858666666666668,2,autoimmune,indication,AUROC
Proximity,0.006993006993006993,2,autoimmune,indication,Recall@100
Proximity,0.48809701189076876,2,autoimmune,indication,Avg Rank
Proximity,0.0007692307692307692,2,autoimmune,indication,Precision@100
Proximity,0.0,2,autoimmune,indication,Precision@10
Proximity,0.0,2,autoimmune,indication,Precision@K
DSD-min,0.48053345623661753,3,autoimmune,indication,AUPRC
DSD-min,0.47182222222222225,3,autoimmune,indication,AUROC
DSD-min,0.00591715976331361,3,autoimmune,indication,Recall@100
DSD-min,0.45537608299351706,3,autoimmune,indication,Avg Rank
DSD-min,0.0007692307692307692,3,autoimmune,indication,Precision@100
DSD-min,0.0,3,autoimmune,indication,Precision@10
DSD-min,0.0,3,autoimmune,indication,Precision@K
KL-min,0.5093875888812538,3,autoimmune,indication,AUPRC
KL-min,0.48977777777777776,3,autoimmune,indication,AUROC
KL-min,0.00591715976331361,3,autoimmune,indication,Recall@100
KL-min,0.5303029044848052,3,autoimmune,indication,Avg Rank
KL-min,0.0007692307692307692,3,autoimmune,indication,Precision@100
KL-min,0.0,3,autoimmune,indication,Precision@10
KL-min,0.0,3,autoimmune,indication,Precision@K
JS-min,0.482020133177669,3,autoimmune,indication,AUPRC
JS-min,0.4517333333333333,3,autoimmune,indication,AUROC
JS-min,0.00591715976331361,3,autoimmune,indication,Recall@100
JS-min,0.41116535679378263,3,autoimmune,indication,Avg Rank
JS-min,0.0007692307692307692,3,autoimmune,indication,Precision@100
JS-min,0.0,3,autoimmune,indication,Precision@10
JS-min,0.0,3,autoimmune,indication,Precision@K
HGT,0.5067567567567568,3,autoimmune,indication,AUPRC
HGT,0.5133333333333333,3,autoimmune,indication,AUROC
HGT,0.006993006993006993,3,autoimmune,indication,Recall@100
HGT,0.611916944918366,3,autoimmune,indication,Avg Rank
HGT,0.0007692307692307692,3,autoimmune,indication,Precision@100
HGT,0.0,3,autoimmune,indication,Precision@10
HGT,0.0,3,autoimmune,indication,Precision@K
HAN,0.5998710251544237,3,autoimmune,indication,AUPRC
HAN,0.5519999999999999,3,autoimmune,indication,AUROC
HAN,0.053994082840236685,3,autoimmune,indication,Recall@100
HAN,0.3999629217446621,3,autoimmune,indication,Avg Rank
HAN,0.0023076923076923075,3,autoimmune,indication,Precision@100
HAN,0.0,3,autoimmune,indication,Precision@10
HAN,0.0,3,autoimmune,indication,Precision@K
RGCN,0.5160998146027266,3,autoimmune,indication,AUPRC
RGCN,0.5435555555555556,3,autoimmune,indication,AUROC
RGCN,0.038461538461538464,3,autoimmune,indication,Recall@100
RGCN,0.7117690074738054,3,autoimmune,indication,Avg Rank
RGCN,0.0007692307692307692,3,autoimmune,indication,Precision@100
RGCN,0.0,3,autoimmune,indication,Precision@10
RGCN,0.0,3,autoimmune,indication,Precision@K
BioBERT,0.661420014544916,3,autoimmune,indication,AUPRC
BioBERT,0.6613333333333333,3,autoimmune,indication,AUROC
BioBERT,0.02958579881656805,3,autoimmune,indication,Recall@100
BioBERT,0.5506033905930948,3,autoimmune,indication,Avg Rank
BioBERT,0.0038461538461538464,3,autoimmune,indication,Precision@100
BioBERT,0.0,3,autoimmune,indication,Precision@10
BioBERT,0.0,3,autoimmune,indication,Precision@K
TxGNN,0.8751439219787325,3,autoimmune,indication,AUPRC
TxGNN,0.8751111111111111,3,autoimmune,indication,AUROC
TxGNN,0.32994889725658955,3,autoimmune,indication,Recall@100
TxGNN,0.6520117156748184,3,autoimmune,indication,Avg Rank
TxGNN,0.024615384615384612,3,autoimmune,indication,Precision@100
TxGNN,0.14615384615384613,3,autoimmune,indication,Precision@10
TxGNN,0.11551909628832704,3,autoimmune,indication,Precision@K
Proximity,0.5839087458941123,3,autoimmune,indication,AUPRC
Proximity,0.5980444444444445,3,autoimmune,indication,AUROC
Proximity,0.012910166756320602,3,autoimmune,indication,Recall@100
Proximity,0.5326679415846188,3,autoimmune,indication,Avg Rank
Proximity,0.0015384615384615385,3,autoimmune,indication,Precision@100
Proximity,0.0,3,autoimmune,indication,Precision@10
Proximity,0.0,3,autoimmune,indication,Precision@K
DSD-min,0.48089839886849517,4,autoimmune,indication,AUPRC
DSD-min,0.4648888888888889,4,autoimmune,indication,AUROC
DSD-min,0.019230769230769232,4,autoimmune,indication,Recall@100
DSD-min,0.5069752309434834,4,autoimmune,indication,Avg Rank
DSD-min,0.0007692307692307692,4,autoimmune,indication,Precision@100
DSD-min,0.0,4,autoimmune,indication,Precision@10
DSD-min,0.0,4,autoimmune,indication,Precision@K
KL-min,0.5381379925337637,4,autoimmune,indication,AUPRC
KL-min,0.5079111111111111,4,autoimmune,indication,AUROC
KL-min,0.009615384615384616,4,autoimmune,indication,Recall@100
KL-min,0.48970473407108783,4,autoimmune,indication,Avg Rank
KL-min,0.0007692307692307692,4,autoimmune,indication,Precision@100
KL-min,0.0,4,autoimmune,indication,Precision@10
KL-min,0.0,4,autoimmune,indication,Precision@K
JS-min,0.5067868460198834,4,autoimmune,indication,AUPRC
JS-min,0.46684444444444445,4,autoimmune,indication,AUROC
JS-min,0.008547008547008546,4,autoimmune,indication,Recall@100
JS-min,0.46938046550144275,4,autoimmune,indication,Avg Rank
JS-min,0.0007692307692307692,4,autoimmune,indication,Precision@100
JS-min,0.0,4,autoimmune,indication,Precision@10
JS-min,0.0,4,autoimmune,indication,Precision@K
HGT,0.4410657822017255,4,autoimmune,indication,AUPRC
HGT,0.34702222222222223,4,autoimmune,indication,AUROC
HGT,0.0,4,autoimmune,indication,Recall@100
HGT,0.1548610027102598,4,autoimmune,indication,Avg Rank
HGT,0.0,4,autoimmune,indication,Precision@100
HGT,0.0,4,autoimmune,indication,Precision@10
HGT,0.0,4,autoimmune,indication,Precision@K
HAN,0.5275510898953144,4,autoimmune,indication,AUPRC
HAN,0.5061333333333333,4,autoimmune,indication,AUROC
HAN,0.04807692307692308,4,autoimmune,indication,Recall@100
HAN,0.31960430025510606,4,autoimmune,indication,Avg Rank
HAN,0.0023076923076923075,4,autoimmune,indication,Precision@100
HAN,0.0,4,autoimmune,indication,Precision@10
HAN,0.0,4,autoimmune,indication,Precision@K
RGCN,0.507412725871469,4,autoimmune,indication,AUPRC
RGCN,0.5350222222222223,4,autoimmune,indication,AUROC
RGCN,0.038461538461538464,4,autoimmune,indication,Recall@100
RGCN,0.7155308897751449,4,autoimmune,indication,Avg Rank
RGCN,0.0007692307692307692,4,autoimmune,indication,Precision@100
RGCN,0.0,4,autoimmune,indication,Precision@10
RGCN,0.0,4,autoimmune,indication,Precision@K
BioBERT,0.661420014544916,4,autoimmune,indication,AUPRC
BioBERT,0.6613333333333333,4,autoimmune,indication,AUROC
BioBERT,0.02958579881656805,4,autoimmune,indication,Recall@100
BioBERT,0.5506033905930948,4,autoimmune,indication,Avg Rank
BioBERT,0.0038461538461538464,4,autoimmune,indication,Precision@100
BioBERT,0.0,4,autoimmune,indication,Precision@10
BioBERT,0.0,4,autoimmune,indication,Precision@K
TxGNN,0.8716085490574231,4,autoimmune,indication,AUPRC
TxGNN,0.8744,4,autoimmune,indication,AUROC
TxGNN,0.3395642818719742,4,autoimmune,indication,Recall@100
TxGNN,0.6518295909772694,4,autoimmune,indication,Avg Rank
TxGNN,0.02538461538461538,4,autoimmune,indication,Precision@100
TxGNN,0.14615384615384616,4,autoimmune,indication,Precision@10
TxGNN,0.13212748789671866,4,autoimmune,indication,Precision@K
Proximity,0.5749839248872123,4,autoimmune,indication,AUPRC
Proximity,0.6017777777777777,4,autoimmune,indication,AUROC
