node_id,node_type,node_name,node_source,group_name_auto,group_name_bert
13924,disease,osteogenesis imperfecta type 13,MONDO,osteogenesis imperfecta,osteogenesis imperfecta
11160,disease,autosomal recessive nonsyndromic deafness 15,MONDO,autosomal recessive nonsyndromic deafness,autosomal recessive nonsyndromic deafness
8099,disease,congenital stationary night blindness autosomal dominant 2,MONDO,congenital stationary night blindness autosomal dominant,congenital stationary night blindness autosomal dominant
14854,disease,autosomal dominant nonsyndromic deafness 66,MONDO,autosomal dominant nonsyndromic deafness,autosomal dominant nonsyndromic deafness
33202,disease,"deafness, autosomal recessive 109",MONDO,"deafness, autosomal recessive","deafness, autosomal recessive"
11396,disease,keratoderma hereditarium mutilans with ichthyosis,MONDO,keratoderma hereditarium mutilans with ichthyosis,keratoderma hereditarium mutilans
14828,disease,immunodeficiency-centromeric instability-facial anomalies syndrome 3,MONDO,immunodeficiency-centromeric instability-facial anomalies syndrome,immunodeficiency-centromeric instability-facial anomalies syndrome
8019,disease,mullerian aplasia and hyperandrogenism,MONDO,mullerian aplasia and hyperandrogenism,mullerian aplasia and hyperandrogenism
11043,disease,"myelodysplasia, immunodeficiency, facial dysmorphism, short stature, and psychomotor delay",MONDO,"myelodysplasia, immunodeficiency, facial dysmorphism, short stature, and psychomotor delay","myelodysplasia, immunodeficiency, facial dysmorphism, short stature, and psychomotor delay"
9260,disease,GM1 gangliosidosis type 1,MONDO,GM1 gangliosidosis,GM1 gangliosidosis
8878,disease,"bone dysplasia, lethal Holmgren type",MONDO,"bone dysplasia, lethal Holmgren type","bone dysplasia, lethal Holmgren type"
8905,disease,predisposition to invasive fungal disease due to CARD9 deficiency,MONDO,predisposition to invasive fungal disease due to CARD9 deficiency,predisposition to invasive fungal disease due to CARD9 deficiency
14083,disease,"agammaglobulinemia 7, autosomal recessive",MONDO,"agammaglobulinemia 7, autosomal recessive",agammaglobulinemia
7162,disease,asymmetric short stature syndrome,MONDO,asymmetric short stature syndrome,asymmetric short stature syndrome
