node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert
13924,disease,osteogenesis imperfecta type 13,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
12592,disease,osteogenesis imperfecta type 11,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
14672,disease,osteogenesis imperfecta type 17,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
13460,disease,osteogenesis imperfecta type 12,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
12591,disease,osteogenesis imperfecta type 5,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
12536,disease,osteogenesis imperfecta type 7,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
30861,disease,"osteogenesis imperfecta, type 21",MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
8146,disease,osteogenesis imperfecta type 1,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
8148,disease,osteogenesis imperfecta type 4,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
32846,disease,"osteogenesis imperfecta, type 20",MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
13459,disease,osteogenesis imperfecta type 10,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
44329,disease,"osteogenesis imperfecta, type 18",MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
14544,disease,osteogenesis imperfecta type 16,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
9805,disease,osteogenesis imperfecta type 9,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
49223,disease,"osteogenesis imperfecta, type 19",MONDO,osteogenesis imperfecta,osteogenesis imperfecta,13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019
