ontology_id,ontology,mondo_id
0000408,EFO,0000001
377788,Orphanet,0000001
C0012634,UMLS,0000001
0000031,OGMS,0000001
64572001,SCTID,0000001
4,DOID,0000001
D004194,MESH,0000001
C2991,NCIT,0000001
799.9,ICD9,0000001
0000002,DC,0000003
154707007,SCTID,0000004
D000309,MESH,0000004
255.41,ICD9,0000004
68588005,SCTID,0000004
C0001623,UMLS,0000004
267398003,SCTID,0000004
190527008,SCTID,0000004
267483004,SCTID,0000004
C26691,NCIT,0000004
10493,DOID,0000004
255.4,ICD9,0000004
0006722,GARD,0000004
386584007,SCTID,0000004
0000011,DC,0000004
C0405580,UMLS,0000004
0000016,DC,0000005
203655,OMIMPS,0000005
0000017,DC,0000006
0000046,DC,0000007
C0005818,UMLS,0000009
2218,DOID,0000009
231200,OMIMPS,0000009
0000057,DC,0000009
0000080,DC,0000011
0000083,DC,0000012
0000090,DC,0000014
279.8,ICD9,0000015
0000094,DC,0000015
0009526,GARD,0000015
363009005,SCTID,0000015
C1285186,UMLS,0000015
0000128,DC,0000019
0000131,DC,0000021
C118172,NCIT,0000022
193874,COHD,0000022
C0270327,UMLS,0000022
D053206,MESH,0000022
0000133,DC,0000022
0000134,DC,0000023
615438,OMIMPS,0000023
CN228161,UMLS,0000023
464724,Orphanet,0000023
0000154,DC,0000030
600513,OMIMPS,0000030
121210,OMIMPS,0000032
0111297,DOID,0000032
0000159,DC,0000032
0000192,DC,0000038
0000203,DC,0000041
0000212,DC,0000043
10060873,MedDRA,0000044
437,Orphanet,0000044
E83.3,ICD10,0000044
C3536983,UMLS,0000044
0006735,GARD,0000044
193100,OMIMPS,0000044
0000215,DC,0000044
C2363065,UMLS,0000044
275200,OMIMPS,0000045
0000217,DC,0000045
0000219,DC,0000046
610799,OMIMPS,0000049
0000227,DC,0000049
CN228622,UMLS,0000049
E23.0,ICD10,0000050
0060870,DOID,0000050
2109003,SCTID,0000050
0000229,DC,0000050
0012556,GARD,0000050
631,Orphanet,0000050
262400,OMIMPS,0000050
C0271561,UMLS,0000050
10035083,MedDRA,0000050
0000234,DC,0000051
0000271,DC,0000058
0000276,DC,0000060
CN239360,UMLS,0000060
0080637,DOID,0000062
0000278,DC,0000062
251600,OMIMPS,0000062
0000279,DC,0000063
0003570,HP,0000063
0000281,DC,0000065
603933,OMIMPS,0000065
CN357508,UMLS,0000065
0000283,DC,0000066
0000298,DC,0000070
0000305,DC,0000071
0000322,DC,0000075
0000331,DC,0000078
C0687154,UMLS,0000078
205260006,SCTID,0000078
0080655,DOID,0000079
612286,OMIMPS,0000079
0000341,DC,0000079
0000342,DC,0000080
0000345,DC,0000081
237113009,SCTID,0000082
D056887,MESH,0000082
0004710,EFO,0000082
C0877015,UMLS,0000082
0000354,DC,0000082
0000358,DC,0000085
0000363,DC,0000087
D065706,MESH,0000087
4945003,SCTID,0000087
C116936,NCIT,0000087
0012271,GARD,0000087
Q04.3,ICD10,0000087
35981,Orphanet,0000087
C0266464,UMLS,0000087
0000826,HP,0000088
