,node_id,node_type,node_name,node_source
113092,16222.0,disease,spindle cell hemangioma,MONDO
113123,16262.0,disease,leiomyosarcoma of the corpus uteri,MONDO
113479,16642.0,disease,meningioma (disease),MONDO
113516,16681.0,disease,gliosarcoma,MONDO
113517,16682.0,disease,giant cell glioblastoma,MONDO
113518,16683.0,disease,gliomatosis cerebri,MONDO
113519,16684.0,disease,anaplastic astrocytoma,MONDO
113522,16687.0,disease,protoplasmic astrocytoma,MONDO
113523,16688.0,disease,fibrillary astrocytoma,MONDO
113524,16689.0,disease,gemistocytic astrocytoma,MONDO
113525,16690.0,disease,pleomorphic xanthoastrocytoma,MONDO
113526,16691.0,disease,pilocytic astrocytoma,MONDO
113527,16692.0,disease,pilomyxoid astrocytoma,MONDO
113528,16693.0,disease,subependymal giant cell astrocytoma,MONDO
113529,16695.0,disease,oligodendroglioma,MONDO
113532,16698.0,disease,ependymoma,MONDO
113533,16699.0,disease,myxopapillary ependymoma,MONDO
113536,16702.0,disease,oligoastrocytoma,MONDO
113540,16706.0,disease,chordoid glioma of the third ventricle,MONDO
113541,16707.0,disease,astroblastoma,MONDO
113548,16715.0,disease,ependymoblastoma,MONDO
113550,16718.0,disease,choroid plexus carcinoma,MONDO
113553,16722.0,disease,pineoblastoma,MONDO
113560,16730.0,disease,gangliocytoma,MONDO
113562,16733.0,disease,ganglioglioma,MONDO
113573,16746.0,disease,meningeal melanocytoma,MONDO
113575,16748.0,disease,hemangioblastoma,MONDO
113581,16755.0,disease,neurofibroma,MONDO
113583,16757.0,disease,malignant triton tumor,MONDO
113612,16787.0,disease,epithelioid trophoblastic tumor,MONDO
113648,16824.0,disease,myofibromatosis,MONDO
113795,16974.0,disease,thymoma type B,MONDO
113796,16975.0,disease,thymoma type AB,MONDO
113803,16982.0,disease,angiosarcoma (disease),MONDO
113864,17043.0,disease,congenital mesoblastic nephroma,MONDO
113869,17048.0,disease,pseudomyxoma peritonei,MONDO
114194,17386.0,disease,pleomorphic rhabdomyosarcoma,MONDO
114195,17387.0,disease,epithelioid sarcoma,MONDO
114389,17582.0,disease,pituitary adenocarcinoma (disease),MONDO
114397,17590.0,disease,carcinoma of the ampulla of vater,MONDO
114407,17600.0,disease,hairy cell leukemia variant,MONDO
114411,17604.0,disease,marginal zone lymphoma,MONDO
114591,17795.0,disease,ameloblastoma,MONDO
114608,17814.0,disease,primary bone lymphoma,MONDO
114620,17827.0,disease,malignant peripheral nerve sheath tumor,MONDO
114637,17844.0,disease,Sezary syndrome,MONDO
114674,17884.0,disease,papillary renal cell carcinoma,MONDO
114675,17885.0,disease,chromophobe renal cell carcinoma,MONDO
114837,18055.0,disease,pediatric hepatocellular carcinoma,MONDO
114936,18160.0,disease,hereditary retinoblastoma,MONDO
114947,18171.0,disease,malignant germ cell tumor of ovary,MONDO
114952,18177.0,disease,glioblastoma (disease),MONDO
114993,18223.0,disease,systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood,MONDO
115040,18270.0,disease,extraskeletal Ewing sarcoma,MONDO
115094,18327.0,disease,glomus tumor,MONDO
115116,18352.0,disease,squamous cell carcinoma of penis,MONDO
115128,18364.0,disease,malignant epithelial tumor of ovary,MONDO
115130,18368.0,disease,primary peritoneal serous/papillary carcinoma,MONDO
115131,18369.0,disease,immature ovarian teratoma,MONDO
115245,18492.0,disease,hereditary clear cell renal cell carcinoma,MONDO
115259,18510.0,disease,small intestine neuroendocrine neoplasm,MONDO
115261,18513.0,disease,squamous cell carcinoma of colon,MONDO
115262,18515.0,disease,squamous cell carcinoma of rectum,MONDO
115265,18521.0,disease,squamous cell carcinoma of pancreas,MONDO
115266,18523.0,disease,pancreatic mucinous cystadenoma,MONDO
115267,18525.0,disease,solid pseudopapillary carcinoma of pancreas,MONDO
115402,18666.0,disease,hepatoblastoma,MONDO
115425,18689.0,disease,plasma cell leukemia,MONDO
115463,18734.0,disease,verrucous hemangioma,MONDO
115564,18843.0,disease,embryonal carcinoma of the central nervous system,MONDO
115589,18872.0,disease,acute megakaryoblastic leukemia,MONDO
115591,18874.0,disease,acute myeloid leukemia,MONDO
115593,18876.0,disease,mantle cell lymphoma,MONDO
115598,18881.0,disease,myelodysplastic syndrome,MONDO
115617,18902.0,disease,hepatocellular adenoma,MONDO
115620,18905.0,disease,diffuse large B-cell lymphoma,MONDO
115621,18906.0,disease,follicular lymphoma,MONDO
115622,18907.0,disease,craniopharyngioma,MONDO
115623,18908.0,disease,non-Hodgkin lymphoma,MONDO
115645,18935.0,disease,hairy cell leukemia,MONDO
115646,18936.0,disease,osteoblastoma (disease),MONDO
115654,18944.0,disease,gestational trophoblastic neoplasm,MONDO
115671,18961.0,disease,familial melanoma,MONDO
115708,19004.0,disease,kidney Wilms tumor,MONDO
115727,19024.0,disease,mast cell sarcoma,MONDO
115728,19025.0,disease,extracutaneous mastocytoma,MONDO
115737,19035.0,disease,pancreatoblastoma,MONDO
115774,19086.0,disease,carcinoma of esophagus,MONDO
115775,19087.0,disease,cholangiocarcinoma,MONDO
115816,19134.0,disease,central neurocytoma,MONDO
116052,19392.0,disease,syringocystadenoma papilliferum,MONDO
116063,19404.0,disease,perineurioma,MONDO
116109,19451.0,disease,chronic neutrophilic leukemia,MONDO
116119,19462.0,disease,splenic marginal zone lymphoma,MONDO
116122,19465.0,disease,nodal marginal zone B-cell lymphoma,MONDO
116126,19469.0,disease,T-cell large granular lymphocyte leukemia,MONDO
116127,19470.0,disease,aggressive NK-cell leukemia,MONDO
116128,19471.0,disease,adult T-cell leukemia/lymphoma,MONDO
116136,19480.0,disease,Langerhans cell sarcoma,MONDO
116138,19483.0,disease,methotrexate-associated lymphoproliferative disorders,MONDO
116148,19496.0,disease,neuroendocrine neoplasm,MONDO
116442,19803.0,disease,angioma serpiginosum,MONDO
